Diagnosed Diabetes; Female (Gender); Adults Aged 18+ Years; Crude Percentage; U.S. States
Data downloaded on 28-March-2022
Year,State,Percentage,LowerLimit,UpperLimit
2000,Nebraska,4.6,3.6,5.9
2000,Nevada,4.8,3,7.7
2000,New Hampshire,4.1,3,5.4
2000,New Jersey,5.4,4.4,6.5
2000,New Mexico,6.7,5.4,8.3
2000,New York,6.1,5,7.4
2000,North Carolina,6.6,5.6,7.9
2000,North Dakota,5.3,4,7
2000,Ohio,6.2,4.9,7.8
2000,Oklahoma,6.1,5,7.3
2000,Oregon,5.7,4.7,6.9
2000,Pennsylvania,7.5,6.2,9
2000,Rhode Island,5.3,4.3,6.5
2000,South Carolina,6.9,5.7,8.3
2000,South Dakota,5.4,4.5,6.4
2000,Tennessee,7.6,6.3,9.1
2000,Texas,6.2,5.2,7.2
2000,Utah,5.2,3.9,6.9
2000,Vermont,4.2,3.4,5.2
2000,Virginia,7,5,9.7
2000,Washington,5.7,4.7,6.8
2000,West Virginia,7.6,6.2,9.1
2000,Wisconsin,6.5,5.2,8.1
2000,Wyoming,4.6,3.5,5.9
2000,Puerto Rico,8.4,7.2,9.8
2001,Alabama,8.8,7.5,10.4
2001,Alaska,4,2.8,5.7
2001,Arizona,4.9,3.9,6.2
2001,Arkansas,7.2,5.9,8.8
2001,California,7.1,5.9,8.6
2001,Colorado,3.7,2.7,5.2
2001,Connecticut,6,5.2,6.9
2001,Delaware,6.6,5.4,8
2001,District of Columbia,7.3,5.7,9.3
2001,Florida,7.2,6.1,8.3
2001,Georgia,7.3,6.2,8.5
2001,Hawaii,5.6,4.5,6.9
2001,Idaho,5.7,4.8,6.8
2001,Illinois,6.7,5.6,7.9
2001,Indiana,6.8,5.8,7.9
2001,Iowa,5.6,4.7,6.7
2001,Kansas,6.1,5.2,7.2
2001,Kentucky,6.4,5.6,7.4
2001,Louisiana,8.3,7.3,9.4
2001,Maine,6.5,5.3,8
2001,Maryland,6.7,5.4,8.2
2001,Massachusetts,5.2,4.5,6.1
2001,Michigan,7.6,6.5,9
2001,Minnesota,4.3,3.5,5.4
2001,Mississippi,9.7,8.4,11.2
2001,Missouri,6.2,5.1,7.6
2001,Montana,6.2,4.9,7.8
2001,Nebraska,5.5,4.5,6.6
2001,Nevada,6.2,4.4,8.7
2001,New Hampshire,5,4.2,6.1
2001,New Jersey,7.1,6,8.4
2001,New Mexico,6.5,5.4,7.8
2001,New York,6.8,5.6,8.2
2001,North Carolina,6.5,5.5,7.6
2001,North Dakota,5.5,4.4,6.9
2001,Ohio,6.9,5.7,8.2
2001,Oklahoma,7.2,6.1,8.6
2001,Oregon,5.8,4.6,7.3
2001,Pennsylvania,6.8,5.7,8
2001,Rhode Island,5.7,4.6,6.9
2001,South Carolina,7.9,6.6,9.3
2001,South Dakota,5.6,4.8,6.5
2001,Tennessee,7.9,6.7,9.3
2001,Texas,7.1,6.2,8.2
2001,Utah,4.1,3.2,5.3
2001,Vermont,5.5,4.6,6.6
2001,Virginia,5.8,4.7,7.3
2001,Washington,5.3,4.4,6.3
2001,West Virginia,8.8,7.4,10.4
2001,Wisconsin,5.3,4.3,6.5
2001,Wyoming,4.8,3.9,6
2001,Guam,9.3,6.5,13
2001,Puerto Rico,10.5,9.1,12.1
2001,Virgin Islands of the U.S.,9.7,7.9,11.8
2002,Alabama,9.2,8,10.6
2002,Alaska,4.4,3.2,6
2002,Arizona,6.4,5,8
2002,Arkansas,7.6,6.5,8.8
2002,California,7.2,5.9,8.8
2002,Colorado,4.2,3.4,5.1
2002,Connecticut,6,5.1,7.1
2002,Delaware,6.5,5.4,7.9
2002,District of Columbia,7.6,6.1,9.4
2002,Florida,7.4,6.4,8.6
2002,Georgia,7.5,6.4,8.6
2002,Hawaii,6.6,5.5,7.8
2002,Idaho,5.9,5,6.8
2002,Illinois,7.1,6.1,8.3
2002,Indiana,7.6,6.7,8.7
2002,Iowa,6.7,5.5,8
2002,Kansas,6.8,5.8,7.8
2002,Kentucky,6.3,5.5,7.3
2002,Louisiana,6.9,6,8
2002,Maine,7.1,5.8,8.7
2002,Maryland,5.8,4.8,6.9
2002,Massachusetts,5.4,4.7,6.3
2002,Michigan,8.1,7.1,9.3
2002,Minnesota,5.1,4.2,6.1
2002,Mississippi,8.4,7.4,9.6
2002,Missouri,7.5,6.2,8.9
2002,Montana,5.5,4.5,6.8
2002,Nebraska,5.5,4.6,6.5
2002,Nevada,5.4,4,7.3
2002,New Hampshire,5.8,4.9,6.8
2002,New Jersey,6.4,5,8.1
2002,New Mexico,6.3,5.3,7.4
2002,New York,7.3,6,8.7
2002,North Carolina,7.9,6.8,9.2
2002,North Dakota,6.3,5.2,7.6
2002,Ohio,8.1,6.8,9.5
2002,Oklahoma,6.6,5.9,7.5
2002,Oregon,6.2,5.1,7.5
2002,Pennsylvania,8.4,7.6,9.3
2002,Rhode Island,6.1,5.1,7.3
2002,South Carolina,8.4,7.2,9.8
2002,South Dakota,5.3,4.5,6.2
2002,Tennessee,8.5,7.2,10
2002,Texas,7.4,6.4,8.5
2002,Utah,4.4,3.2,5.8
2002,Vermont,5.6,4.7,6.6
2002,Virginia,7,5.9,8.2
2002,Washington,5.2,4.4,6.2
2002,West Virginia,10.1,8.8,11.6
2002,Wisconsin,4.9,4.1,5.9
2002,Wyoming,5,4.1,6
2002,Guam,8.1,5.5,11.7
2002,Puerto Rico,10.4,9.2,11.8
2002,Virgin Islands of the U.S.,10.7,8.7,13
2003,Alabama,8.9,7.7,10.3
2003,Alaska,5.8,4.2,7.9
2003,Arizona,6.3,5,7.9
2003,Arkansas,7.4,6.3,8.5
2003,California,7.5,6.2,8.9
2003,Colorado,3.9,3.2,4.9
2003,Connecticut,5.5,4.6,6.5
2003,Delaware,6.9,5.8,8.2
2003,District of Columbia,9.4,7.6,11.6
2003,Florida,7.7,6.5,9.2
2003,Georgia,7.8,6.9,8.8
2003,Hawaii,7.8,6.5,9.2
2003,Idaho,5.6,4.8,6.5
2003,Illinois,7.4,6.4,8.5
2003,Indiana,7.5,6.6,8.5
2003,Iowa,6.5,5.6,7.5
2003,Kansas,6.2,5.3,7.3
2003,Kentucky,7.3,6.5,8.3
2003,Louisiana,8.8,7.8,10
2003,Maine,7,5.7,8.6
2003,Maryland,7,5.8,8.3
2003,Massachusetts,5.6,4.8,6.5
2003,Michigan,8.2,7,9.5
2003,Minnesota,5,4.2,6
2003,Mississippi,11.4,10.2,12.9
2003,Missouri,6.5,5.4,7.8
2003,Montana,5.4,4.5,6.7
2003,Nebraska,5.5,4.8,6.5
2003,Nevada,5.1,3.8,6.8
2003,New Hampshire,5.7,4.9,6.6
2003,New Jersey,6.5,5.8,7.2
2003,New Mexico,5.9,5.1,6.8
2003,New York,7.6,6.6,8.8
2003,North Carolina,8.1,7.2,9.1
2003,North Dakota,6.5,5.4,7.7
2003,Ohio,8.9,7.6,10.5
2003,Oklahoma,7.6,6.9,8.5
2003,Oregon,5.8,4.9,6.8
2003,Pennsylvania,7.3,6.2,8.5
2003,Rhode Island,6.8,5.7,8.2
2003,South Carolina,9.5,8.4,10.6
2003,South Dakota,6.7,5.8,7.7
2003,Tennessee,10.3,8.7,12.2
2003,Texas,8.2,7.3,9.3
2003,Utah,5.6,4.5,6.9
2003,Vermont,5.1,4.3,6.1
2003,Virginia,7.1,6.1,8.3
2003,Washington,6.4,5.9,6.9
2003,West Virginia,10.8,9.4,12.4
2003,Wisconsin,5.8,4.8,7
2003,Wyoming,5.5,4.6,6.6
2003,Guam,10.5,7.5,14.4
2003,Puerto Rico,11.3,9.9,12.7
2003,Virgin Islands of the U.S.,9.2,7.4,11.4
2004,Hawaii,No Data,No Data,No Data
2004,Guam,No Data,No Data,No Data
2004,Alabama,9,7.8,10.3
2004,Alaska,4,2.9,5.5
2004,Arizona,6.1,4.9,7.6
2004,Arkansas,7,6,8
2004,California,6,5,7.1
2004,Colorado,3.8,3.1,4.6
2004,Connecticut,5.6,4.8,6.4
2004,Delaware,6.4,5.3,7.7
2004,District of Columbia,8.5,7,10.2
2004,Florida,7.8,6.9,8.9
2004,Georgia,6.9,5.9,8.1
2004,Idaho,6.4,5.5,7.3
2004,Illinois,6.1,5.1,7.2
2004,Indiana,7.4,6.5,8.3
2004,Iowa,6.4,5.5,7.3
2004,Kansas,7,6.3,7.8
2004,Kentucky,7.9,7,8.9
2004,Louisiana,8.5,7.7,9.3
2004,Maine,5.9,4.9,7
2004,Maryland,7.2,6,8.6
2004,Massachusetts,5.1,4.4,6
2004,Michigan,8,7,9.2
2004,Minnesota,4.8,3.9,5.7
2004,Mississippi,10.7,9.6,11.8
2004,Missouri,7.6,6.5,8.8
2004,Montana,5.3,4.4,6.2
2004,Nebraska,6.2,5.5,7.1
2004,Nevada,5.7,4.3,7.5
2004,New Hampshire,6.3,5.4,7.3
2004,New Jersey,6.3,5.7,7
2004,New Mexico,6.1,5.3,7
2004,New York,6.8,5.9,7.8
2004,North Carolina,8.7,8.1,9.4
2004,North Dakota,5.5,4.5,6.7
2004,Ohio,7.3,6,8.9
2004,Oklahoma,7.9,7.1,8.8
2004,Oregon,5.7,4.9,6.6
2004,Pennsylvania,7.4,6.6,8.4
2004,Rhode Island,7.1,6,8.4
2004,South Carolina,8.5,7.6,9.4
2004,South Dakota,6.3,5.5,7.3
2004,Tennessee,8.6,7.4,10
2004,Texas,7.7,6.7,8.7
2004,Utah,4.3,3.5,5.2
2004,Vermont,5.3,4.6,6
2004,Virginia,5.9,5,6.8
2004,Washington,6.3,5.8,6.8
2004,West Virginia,10.3,9,11.7
2004,Wisconsin,5.3,4.5,6.3
2004,Wyoming,5.4,4.5,6.3
2004,Puerto Rico,11,9.7,12.4
2004,Virgin Islands of the U.S.,9.3,7.8,11.2
2005,Guam,No Data,No Data,No Data
2005,Alabama,9.3,8,10.8
2005,Alaska,4.7,3.4,6.5
2005,Arizona,6.3,5,8
2005,Arkansas,7.9,6.9,8.9
2005,California,6.9,5.9,8
2005,Colorado,4.4,3.8,5.2
2005,Connecticut,6.7,5.7,7.8
2005,Delaware,7.6,6.4,9
2005,District of Columbia,7.7,6.5,9.1
2005,Florida,8.7,7.7,9.8
2005,Georgia,8,7,9.1
2005,Hawaii,6.8,5.8,7.9
2005,Idaho,7,6.1,8
2005,Illinois,7.7,6.7,8.9
2005,Indiana,7.7,6.9,8.7
2005,Iowa,5.7,4.9,6.6
2005,Kansas,6.4,5.8,7.1
2005,Kentucky,8.8,7.7,10.1
2005,Louisiana,9.1,7.9,10.6
2005,Maine,7.2,6.2,8.4
2005,Maryland,7.5,6.6,8.4
2005,Massachusetts,5.9,5.2,6.8
2005,Michigan,7.8,7.1,8.5
2005,Minnesota,4.3,3.5,5.4
2005,Mississippi,10.6,9.5,11.8
2005,Missouri,7.7,6.7,8.9
2005,Montana,5.8,4.9,6.9
2005,Nebraska,7,6.2,7.9
2005,Nevada,7.1,5.5,9.1
2005,New Hampshire,6.2,5.5,7.1
2005,New Jersey,7.3,6.7,8.1
2005,New Mexico,7,6.1,8.1
2005,New York,7.7,6.7,8.8
2005,North Carolina,8.5,7.9,9.1
2005,North Dakota,6.8,5.8,8
2005,Ohio,7.3,6.4,8.4
2005,Oklahoma,8.6,7.7,9.5
2005,Oregon,6.5,5.9,7.1
2005,Pennsylvania,8.3,7.5,9.1
2005,Rhode Island,5.6,4.7,6.6
2005,South Carolina,10.3,9.4,11.2
2005,South Dakota,6.4,5.6,7.2
2005,Tennessee,9.5,8.3,10.9
2005,Texas,8.4,7.5,9.4
2005,Utah,5,4.3,5.9
2005,Vermont,4.8,4.2,5.5
2005,Virginia,6.6,5.7,7.6
2005,Washington,6.3,5.9,6.8
2005,West Virginia,11.1,9.8,12.6
2005,Wisconsin,6.3,5.4,7.3
2005,Wyoming,6.2,5.3,7.1
2005,Puerto Rico,13,11.6,14.6
2005,Virgin Islands of the U.S.,9.4,7.8,11.3
2006,Guam,No Data,No Data,No Data
2006,Alabama,9.3,8,10.8
2006,Alaska,6,4.4,8.2
2006,Arizona,7.7,6.2,9.6
2006,Arkansas,7.6,6.8,8.6
2006,California,7.5,6.4,8.6
2006,Colorado,4.8,4.1,5.7
2006,Connecticut,6.6,5.8,7.4
2006,Delaware,7.2,6.1,8.5
2006,District of Columbia,8.1,7,9.4
2006,Florida,7.3,6.5,8.1
2006,Georgia,8.8,8,9.8
2006,Hawaii,8.4,7.3,9.7
2006,Idaho,6.7,5.8,7.7
2006,Illinois,7.6,6.7,8.7
2006,Indiana,8.4,7.5,9.3
2006,Iowa,6.8,6,7.8
2006,Kansas,7.1,6.4,7.9
2006,Kentucky,8.8,7.8,10
2006,Louisiana,9.6,8.7,10.6
2006,Maine,6.6,5.6,7.7
2006,Maryland,7.4,6.6,8.3
2006,Massachusetts,5.9,5.3,6.6
2006,Michigan,8.4,7.5,9.4
2006,Minnesota,4.8,4,5.7
2006,Mississippi,10.9,9.9,12.1
2006,Missouri,7.1,6,8.4
2006,Montana,6.1,5.3,7.1
2006,Nebraska,7.8,6.9,8.8
2006,Nevada,6.5,5.3,8.1
2006,New Hampshire,6.7,5.9,7.7
2006,New Jersey,7.2,6.6,7.9
2006,New Mexico,7.7,6.8,8.7
2006,New York,6.8,6,7.8
2006,North Carolina,9.6,8.9,10.3
2006,North Dakota,6,5,7.2
2006,Ohio,6.6,5.4,7.9
2006,Oklahoma,9.8,8.9,10.8
2006,Oregon,6.2,5.4,7.1
2006,Pennsylvania,7.6,6.7,8.5
2006,Rhode Island,6.6,5.6,7.6
2006,South Carolina,9.7,8.8,10.7
2006,South Dakota,6.5,5.8,7.4
2006,Tennessee,10.6,9.2,12.1
2006,Texas,7.9,6.8,9.2
2006,Utah,4.7,4,5.5
2006,Vermont,5.5,4.9,6.3
2006,Virginia,6.9,5.6,8.5
2006,Washington,6.7,6.2,7.2
2006,West Virginia,11.4,10.1,12.9
2006,Wisconsin,6.1,5.2,7.1
2006,Wyoming,6.1,5.3,7.1
2006,Puerto Rico,12.4,11.2,13.6
2006,Virgin Islands of the U.S.,9.3,7.9,10.9
2007,Alabama,10.4,9.4,11.5
2007,Alaska,6.1,4.4,8.4
2007,Arizona,7.6,6.2,9.2
2007,Arkansas,9.5,8.5,10.7
2007,California,7.6,6.6,8.7
2007,Colorado,5.1,4.6,5.6
2007,Connecticut,6.6,5.8,7.4
2007,Delaware,8.9,7.6,10.4
2007,District of Columbia,9,7.8,10.3
2007,Florida,8.2,7.5,8.9
2007,Georgia,10.4,9.4,11.5
2007,Hawaii,7.5,6.5,8.6
2007,Idaho,8.6,7.6,9.8
2007,Illinois,7.9,7,9
2007,Indiana,8.1,7.2,9.1
2007,Iowa,6.8,6,7.7
2007,Kansas,6.8,6.2,7.5
2007,Kentucky,9.8,8.7,11
2007,Louisiana,10.2,9.3,11.2
2007,Maine,7.2,6.4,8
2007,Maryland,8,7.2,9
2007,Massachusetts,7.4,6.8,8
2007,Michigan,8.2,7.4,9.1
2007,Minnesota,4.7,4.1,5.5
2007,Mississippi,11.2,10.2,12.1
2007,Missouri,8.1,7,9.3
2007,Montana,6.9,6,7.9
2007,Nebraska,6.5,5.7,7.5
2007,Nevada,7.9,6.6,9.5
2007,New Hampshire,6.8,6,7.7
2007,New Jersey,9.3,8.2,10.4
2007,New Mexico,8,7.1,9
2007,New York,8.1,7.2,9.2
2007,North Carolina,8.9,8.2,9.6
2007,North Dakota,6.4,5.5,7.3
2007,Ohio,9.2,8.5,10
2007,Oklahoma,9.9,9,10.9
2007,Oregon,6.5,5.6,7.4
2007,Pennsylvania,7.7,6.9,8.6
2007,Rhode Island,6.7,5.8,7.8
2007,South Carolina,9.6,8.8,10.5
2007,South Dakota,6.5,5.7,7.4
2007,Tennessee,10.3,9.2,11.7
2007,Texas,10.8,10,11.5
2007,Utah,5,4.3,6
2007,Vermont,6.5,5.7,7.3
2007,Virginia,8.3,7.3,9.4
2007,Washington,6.9,6.4,7.3
2007,West Virginia,10.6,9.4,11.8
2007,Wisconsin,6.2,5.4,7.1
2007,Wyoming,7.2,6.3,8.1
2007,Guam,10.6,7.6,14.6
2007,Puerto Rico,12.4,11.1,13.8
2007,Virgin Islands of the U.S.,10.4,8.8,12.3
2008,Alabama,10.9,9.8,12
2008,Alaska,6.9,4.8,9.8
2008,Arizona,7.9,6.6,9.4
2008,Arkansas,8.6,7.6,9.7
2008,California,8.2,7.4,9.1
2008,Colorado,5.4,4.8,6.1
2008,Connecticut,7,6.1,8.1
2008,Delaware,7.8,6.6,9.2
2008,District of Columbia,9.1,7.9,10.4
2008,Florida,8.8,7.8,9.9
2008,Georgia,9.8,8.7,11
2008,Hawaii,8.6,7.5,9.8
2008,Idaho,6.7,5.9,7.7
2008,Illinois,7.8,6.9,8.9
2008,Indiana,10.1,8.9,11.4
2008,Iowa,6.7,5.9,7.5
2008,Kansas,7.8,7.1,8.6
2008,Kentucky,10.4,9.3,11.6
2008,Louisiana,10.8,9.8,11.9
2008,Maine,6.5,5.8,7.4
2008,Maryland,8.2,7.3,9.1
2008,Massachusetts,6.4,5.9,7
2008,Michigan,7.9,7.2,8.7
2008,Minnesota,5.9,5,6.8
2008,Mississippi,11.6,10.6,12.8
2008,Missouri,8,7,9.2
2008,Montana,6.3,5.5,7.3
2008,Nebraska,7.3,6.5,8.2
2008,Nevada,7.9,6.6,9.5
2008,New Hampshire,7.3,6.4,8.4
2008,New Jersey,8.4,7.7,9.2
2008,New Mexico,7.5,6.6,8.7
2008,New York,8,7.1,9
2008,North Carolina,9.5,8.8,10.3
2008,North Dakota,7.2,6.1,8.3
2008,Ohio,9.5,8.7,10.4
2008,Oklahoma,9.2,8.4,10.1
2008,Oregon,6.6,5.7,7.7
2008,Pennsylvania,8.1,7.3,8.9
2008,Rhode Island,7.4,6.4,8.5
2008,South Carolina,9.4,8.6,10.4
2008,South Dakota,6.3,5.6,7.2
2008,Tennessee,11.1,9.8,12.5
2008,Texas,9.6,8.7,10.6
2008,Utah,5.9,5,6.9
2008,Vermont,6,5.3,6.7
2008,Virginia,7.5,6.5,8.6
2008,Washington,7,6.5,7.5
2008,West Virginia,11.8,10.4,13.3
2008,Wisconsin,7.3,6.2,8.7
2008,Wyoming,7.2,6.4,8
2008,Guam,8,5.8,11
2008,Puerto Rico,11.6,10.5,12.9
2008,Virgin Islands of the U.S.,11.2,9.6,13
2009,Alabama,11.6,10.4,12.8
2009,Alaska,5,3.9,6.5
2009,Arizona,8.4,7,10
2009,Arkansas,9.6,8.3,11
2009,California,8.6,8,9.3
2009,Colorado,5.5,4.9,6.2
2009,Connecticut,5.6,4.9,6.4
2009,Delaware,6.2,5.3,7.2
2009,District of Columbia,8,6.8,9.4
2009,Florida,10,8.8,11.2
2009,Georgia,8.8,7.8,9.9
2009,Hawaii,9.1,7.9,10.5
2009,Idaho,7.8,6.8,8.8
2009,Illinois,8.5,7.5,9.7
2009,Indiana,8.9,8,9.8
2009,Iowa,7.2,6.3,8.1
2009,Kansas,8.3,7.7,8.8
2009,Kentucky,11.3,10.2,12.5
2009,Louisiana,10.6,9.8,11.5
2009,Maine,8,7.2,8.8
2009,Maryland,8.5,7.6,9.6
2009,Massachusetts,7,6.4,7.7
2009,Michigan,9,8.2,9.9
2009,Minnesota,5.6,4.9,6.3
2009,Mississippi,11.9,11,12.7
2009,Missouri,7.8,6.8,9
2009,Montana,7,6.1,7.9
2009,Nebraska,7.3,6.6,8.1
2009,Nevada,7.3,5.9,9.1
2009,New Hampshire,6.4,5.5,7.3
2009,New Jersey,8.2,7.4,9
2009,New Mexico,8.5,7.6,9.6
2009,New York,8.2,7.3,9.2
2009,North Carolina,10.1,9,11.3
2009,North Dakota,7,6.1,8
2009,Ohio,9.9,9,10.9
2009,Oklahoma,10.9,10,11.9
2009,Oregon,7.3,6.3,8.4
2009,Pennsylvania,9.1,8.2,10
2009,Rhode Island,7,6.2,7.9
2009,South Carolina,10.2,9.1,11.3
2009,South Dakota,7.2,6.3,8.1
2009,Tennessee,10.6,9.4,12
2009,Texas,8.6,7.8,9.5
2009,Utah,5.5,4.9,6.2
2009,Vermont,5.9,5.2,6.7
2009,Virginia,7.9,6.9,9.1
2009,Washington,7.2,6.7,7.8
2009,West Virginia,12.8,11.6,14.2
2009,Wisconsin,7.4,6.3,8.8
2009,Wyoming,6.5,5.7,7.4
2009,Guam,8.9,6.9,11.3
2009,Puerto Rico,13.3,12,14.7
2009,Virgin Islands of the U.S.,9,7.6,10.6
2010,Alabama,13.9,12.7,15.1
2010,Alaska,6.3,4.6,8.7
2010,Arizona,8.8,7.3,10.5
2010,Arkansas,9.5,8.2,11
2010,California,8.7,8,9.3
2010,Colorado,5.4,4.8,6
2010,Connecticut,6.9,6,7.8
2010,Delaware,8.3,7.3,9.5
2010,District of Columbia,9.1,7.7,10.6
2010,Florida,9.2,8.4,10
2010,Georgia,10.1,9,11.3
2010,Hawaii,7.9,6.9,9.1
2010,Idaho,7.1,6.3,8
2010,Illinois,8.8,7.7,10
2010,Indiana,9,8.2,9.8
2010,Iowa,7.4,6.5,8.3
2010,Kansas,8.3,7.5,9.1
2010,Kentucky,9.8,8.8,10.9
2010,Louisiana,10.9,9.9,11.9
2010,Maine,8.4,7.6,9.3
2010,Maryland,9.2,8.3,10.2
2010,Massachusetts,6.9,6.3,7.6
2010,Michigan,9,8.1,9.9
2010,Minnesota,5.9,5.1,6.7
2010,Mississippi,12.6,11.5,13.7
2010,Missouri,8.9,7.7,10.3
2010,Montana,5.6,4.9,6.4
2010,Nebraska,7.1,6.4,8
2010,Nevada,7.1,5.6,9
2010,New Hampshire,6.1,5.3,7
2010,New Jersey,8.6,7.9,9.5
2010,New Mexico,8.7,7.8,9.8
2010,New York,8,7.2,8.8
2010,North Carolina,10.1,9.2,11
2010,North Dakota,6.3,5.4,7.2
2010,Ohio,9.7,8.9,10.6
2010,Oklahoma,10.1,9.2,11.1
2010,Oregon,6.7,5.9,7.6
2010,Pennsylvania,9.3,8.6,10.1
2010,Rhode Island,7.2,6.4,8.2
2010,South Carolina,10.6,9.4,11.8
2010,South Dakota,6.2,5.5,7.1
2010,Tennessee,11.5,10.3,12.9
2010,Texas,9.5,8.7,10.4
2010,Utah,6.5,5.8,7.3
2010,Vermont,6.8,6,7.7
2010,Virginia,8.2,7.1,9.5
2010,Washington,7.3,6.7,7.9
2010,West Virginia,11.5,10.3,12.8
2010,Wisconsin,6.6,5.6,7.6
2010,Wyoming,7.4,6.5,8.4
2010,Guam,10.9,8.2,14.4
2010,Puerto Rico,13.4,12,15
2010,Virgin Islands of the U.S.,9.9,8.2,12
2011,Virgin Islands of the U.S.,No Data,No Data,No Data
2011,Alabama,12.5,11.4,13.6
2011,Alaska,8.2,6.5,10.4
2011,Arizona,8.8,7.4,10.4
2011,Arkansas,10.7,9.4,12.2
2011,California,8.6,7.9,9.4
2011,Colorado,6.1,5.5,6.8
2011,Connecticut,8.7,7.7,9.9
2011,Delaware,9.4,8.1,10.8
2011,District of Columbia,9,7.8,10.3
2011,Florida,9.7,8.8,10.7
2011,Georgia,10.4,9.5,11.4
2011,Hawaii,8.6,7.5,9.8
2011,Idaho,8.5,7.4,9.8
2011,Illinois,8.6,7.5,10
2011,Indiana,10.1,9.2,11.2
2011,Iowa,8,7.2,8.9
2011,Kansas,9.1,8.5,9.6
2011,Kentucky,11.2,10.1,12.3
2011,Louisiana,11.5,10.5,12.5
2011,Maine,8.8,8.1,9.5
2011,Maryland,9.3,8.4,10.3
2011,Massachusetts,7.5,6.9,8.2
2011,Michigan,9.8,8.8,10.8
2011,Minnesota,6.7,6,7.4
2011,Mississippi,13.2,12.1,14.3
2011,Missouri,10.2,9.1,11.5
2011,Montana,7.9,7,9
2011,Nebraska,8.2,7.6,8.8
2011,Nevada,9.2,7.4,11.5
2011,New Hampshire,7.4,6.5,8.4
2011,New Jersey,8.1,7.3,8.9
2011,New Mexico,10,9.1,11
2011,New York,10.3,9.2,11.4
2011,North Carolina,10.7,9.7,11.8
2011,North Dakota,7.8,6.8,8.9
2011,Ohio,9.9,9,10.9
2011,Oklahoma,10.2,9.2,11.2
2011,Oregon,8.7,7.7,9.8
2011,Pennsylvania,8.8,8,9.7
2011,Rhode Island,8.8,7.7,10
2011,South Carolina,12.6,11.6,13.7
2011,South Dakota,7.5,6.5,8.8
2011,Tennessee,11.3,9.5,13.5
2011,Texas,9.7,8.8,10.7
2011,Utah,6.3,5.7,7
2011,Vermont,7.2,6.4,8.2
2011,Virginia,10.9,9.6,12.4
2011,Washington,8.4,7.6,9.2
2011,West Virginia,12.4,11.2,13.7
2011,Wisconsin,8.9,7.7,10.4
2011,Wyoming,8.1,6.9,9.5
2011,Guam,10.9,8.8,13.4
2011,Puerto Rico,14.1,13,15.3
2012,Virgin Islands of the U.S.,No Data,No Data,No Data
2012,Alabama,11.9,10.9,13
2012,Alaska,7.3,5.9,9.1
2012,Arizona,10.3,8.9,12
2012,Arkansas,11.5,10.2,12.9
2012,California,9.2,8.4,10.1
2012,Colorado,6.6,5.9,7.4
2012,Connecticut,7.7,6.8,8.6
2012,Delaware,8.6,7.4,10
2012,District of Columbia,8.4,7.1,10
2012,Florida,10.5,9.3,11.9
2012,Georgia,10,8.9,11.2
2012,Hawaii,7.6,6.5,9
2012,Idaho,7.7,6.5,9.1
2012,Illinois,8.6,7.4,9.8
2012,Indiana,10.7,9.7,11.7
2012,Iowa,9,8.1,9.9
2012,Kansas,9.1,8.4,9.9
2012,Kentucky,10.7,9.8,11.7
2012,Louisiana,12.7,11.5,13.9
2012,Maine,9.4,8.6,10.3
2012,Maryland,10.3,9.3,11.4
2012,Massachusetts,7.9,7.2,8.6
2012,Michigan,9.5,8.6,10.4
2012,Minnesota,6.7,5.9,7.5
